BBM,16,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,32688.05,28485.35,,,,,,,,,,,,
BBM,17,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,32761.43,29452.48,,,,,,,,,,,,
BBM,18,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,33405.91,29976.41,,,,,,,,,,,,
BBM,19,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,24187.82,16365.93,,,,,,,,,,,,
BBM,20,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,25093.54,19255.38,,,,,,,,,,,,
BBM,21,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,23644.86,14636.38,,,,,,,,,,,,
BLBM,1,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-34-18.43,124-52-40.97,22717.07,29829.6,,,,,,,,,,,,
BLBM,2,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,22520.87,29923.92,,,,,,,,,,,,
BLLM,1,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-32-49.977,124-47-21.006,20000,20000,,,,,,,,,,,,
BLLM,1,PLS-422-D,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-37-58.77,124-58-38.92,30000,30000,,,,,,,,,,,,
BLLM,1,PLS-700,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-48-10.365,124-47-28.862,20000,20000,,,,,,,,,,,,
BLLM,1,PLS-700,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,6-48-10.365,124-47-28.862,20000,20000,,,,,,,,,,,,
BLLM,2,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,20153.55,19816.4,,,,,,,,,,,,
BLLM,2,PLS-422-D,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,28897.64,30152.2,,,,,,,,,,,,
BLLM,2,PLS-700,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,Jun-48,124-47,20121.32,19713.4,,,,,,,,,,,,
BLLM,2,PLS-700,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,20121.32,19713.4,,,,,,,,,,,,
BLLM,3,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,,,,,,,,,,,,,,
BLLM,3,PLS-422-D,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,26299.88,31112.41,,,,,,,,,,,,
BLLM,4,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,23672.84,16521.3,,,,,,,,,,,,
BLLM,4,PLS-422-D,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,25151.44,31904.36,,,,,,,,,,,,
BLLM,5,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,19828.11,16736.04,,,,,,,,,,,,
BLLM,5,PLS-422-D,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,32237.38,29825.68,,,,,,,,,,,,
BLLM,6,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,21557.58,18211.81,,,,,,,,,,,,
BLLM,6,PLS-422-D,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,33162.12,29228.82,,,,,,,,,,,,
BLLM,7,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,23855.61,20188.99,,,,,,,,,,,,
BLLM,7,PLS-422-D,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,32132.06,33260.18,,,,,,,,,,,,
BLLM,8,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,26003.46,24687,,,,,,,,,,,,
BLLM,8,PLS-422-D,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,31150.9,33177.29,,,,,,,,,,,,
BLLM,9,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,24847.05,23686.27,,,,,,,,,,,,
BLLM,10,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,23524.55,25226.51,,,,,,,,,,,,
BLLM,11,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,22208.48,26773.43,,,,,,,,,,,,
BLLM,12,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,24504.69,28761.46,,,,,,,,,,,,
BLLM,13,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,26798.96,30742.37,,,,,,,,,,,,
BLLM,14,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,27724.68,31536.67,,,,,,,,,,,,
BLLM,15,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,27724.08,31536.67,,,,,,,,,,,,
BLLM,16,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,28424.08,28856.35,,,,,,,,,,,,
BLLM,17,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,32688.05,28485.35,,,,,,,,,,,,
BLLM,18,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,32761.43,29452.48,,,,,,,,,,,,
BLLM,19,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,33405.91,29976.41,,,,,,,,,,,,
BLLM,20,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,24187.82,16365.93,,,,,,,,,,,,
BLLM,21,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,25093.54,19255.38,,,,,,,,,,,,
BLLM,22,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,23644.86,14636.38,,,,,,,,,,,,
BLLM,23,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,,,,,,,,,,,,,,
BLLM,25,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,,,,,,,,,,,,,,
BLLM,26,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,,,,,,,,,,,,,,
BLLM,27,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,23964.95,16433.25,,,,,,,,,,,,
BLLM,28,PLS-221,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,23672.84,16521.3,,,,,,,,,,,,
BLLM,35,PLS-422-D,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,41326.29,22357.3,,,,,,,,,,,,
BLLM,36,PLS-422-D,BULUAN,NORTH COTABATO,REGIONIX CENTRAL MINDANAO,,,41404.76,22237.6,,,,,,,,,,,,
