MON.,182,IMUS ESTATE,LAS PIÑAS,METRO MANILA,NCR,,,14104.31,19287.05,,,,,
BBM,16,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1589050.97,500943.29,,,
BBM,17,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1591468.28,500904.56,,,"= MBM 6, LAS PIÑAS CAD"
BBM,18,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1592894.36,501174.31,,,= MBM 7
BBM,19,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1593007.87,504067.7,,,
BBM,20,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1589051.75,502291.57,,,
BBM,21,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1595262.73,503407.88,,,
BBM,22,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1595112.58,504289.19,,,
BBM,23,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1595748.41,504277.12,,,
BBM,24,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1591498.24,503644.48,,,
BLLM,1,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,14-25-20.806,121-02-18.166,,,1594907.965,504138.449,,,
BLLM,2,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1595334.033,504751.773,,,
BLLM,3,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1597348.27,504739.724,,,
BLLM,4,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1598038.876,504736.068,,,
BLLM,5,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1589429.282,502224.76,,,
BLLM,6,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1589081.78,501933.835,,,
BLLM,7,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1591267.461,504765.879,,,
BLLM,8,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1591405.902,504719.64,,,
MBM,1,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1589966.04,505769.43,,,
MBM,2,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1589176.94,505282.75,,,
MBM,3,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1586869.35,500878.2,,,= CSM 4
MBM,4,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1586969.5,500708.42,,,= CSM 3
MBM,5,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1589050.97,500943.29,,,= BBM 16
MBM,6,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1591468.28,500904.56,,,= BBM 17
MBM,7,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1592894.36,501174.31,,,= BBM 18
MBM,8,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,1595661.82,502256.45,,,= BBM 15
MBM,9,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,,,,,"= MBM 8, CAD 299  PARAÑAQUE"
MBM,10,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,,,,,"= MBM 7, CAD 299 PARAÑAQUE"
MBM,11,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,,,,,"= MBM 6, CAD 299 PARAÑAQUE"
MBM,12,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,,,,,"= MBM 2, MCadm 590-D TAGUIG"
MBM,13,MCadm 593-D,MUNTINLUPA ,METRO MANILA,NCR,,,,,,,,,"= MBM 1, MCadm 590-D TAGUIG"
BBM,1,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,22710.45,20296.57,,,,,
BBM,2,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,22729.99,2058/4.66,,,,,
BBM,3,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,,,,,,,NO RECORD
BBM,4,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,20878.79,20069.06,,,,,
BBM,5,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,20811.68,20297.42,,,,,
BBM,6,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,20798.29,20355.78,,,,,
BBM,7,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,20009.68,19840.82,,,,,
BBM,8,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,19803.05,20104.12,,,,,
BBM,9,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,,,,,,,NO DATA
BLLM,1,CAD 299,PARAÑAQUE,METRO MANILA,NCR,14-30-06.471,120-59-24.495,20000,20000,,,,,
BLLM,2,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,19802.14,19903.682,,,,,
BLLM,3,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,17652.899,25747.173,,,,,
BLLM,4,CAD 299,PARAÑAQUE,METRO MANILA,NCR,14-28-34.431,121-02-33.455,17171.327,25658.623,,,,,
BLLM,5,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,15043.036,21779.871,,,,,
BLLM,6,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,15301.79,21680.687,,,,,
MBM,1,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,18432.54,25935.5,,,,,
MBM,2,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,18248.91,25994.34,,,,,
MBM,3,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,18164.22,25928.4,,,,,
MBM,4,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,17745.86,25964.66,,,,,
MBM,5,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,16245,25808.71,,,,,
MBM,6,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,16238.37,25883.49,,,,,
MBM,7,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,13952.26,25776.71,,,,,
MBM,8,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,12868.72,23546.1,,,,,
MBM,9,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,13013.69,22851.14,,,,,
MBM,10,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,14220.89,22413.53,,,,,
MBM,11,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,14783.78,21953.42,,,,,
MBM,12,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,15236.91,21083.46,,,,,
MBM,13,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,17207.56,20400.26,,,,,
MBM,14,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,17336.54,19957.39,,,,,
MBM,15,CAD 299,PARAÑAQUE,METRO MANILA,NCR,,,17671.26,19975.21,,,,,
