,,BANK OF DITCH (BO. PADONG),(SITIO) SARGEANT PLS/ CONC. MON.,ILOCOS NORTE,REGION I,,,14572.29,26187.55,,,,,
BLLM,4,PLS 859-D,BADOC,ILOCOS NORTE,REGION I,,,24279.31,20026.93,1987224.79,444314.658,,,S-21
BLLM,5,PLS 859-D,BADOC,ILOCOS NORTE,REGION I,,,19325.5,23206.87,1982259.073,447480.543,,,S-56
BLLM,6,PLS 859-D,BADOC,ILOCOS NORTE,REGION I,,,19247.05,23291.93,1982180.384,447565.38,,,S-57
BLLM,7,PLS 859-D,BADOC,ILOCOS NORTE,REGION I,,,17141.36,29189.02,1980057.796,453556.376,,,S-84
BLLM,8,PLS 859-D,BADOC,ILOCOS NORTE,REGION I,,,17140.85,29311.33,1980057.223,453578.684,,,S-85
BLLM,9,PLS 859-D,BADOC,ILOCOS NORTE,REGION I,,,16477.28,22980.69,1979411.542,447246.319,,,S-150
BLLM,10,PLS 859-D,BADOC,ILOCOS NORTE,REGION I,,,16297.29,22870.76,1979231.866,447135.882,,,S151
BLLM,11,PLS 859-D,BADOC,ILOCOS NORTE,REGION I,,,17913.45,15925.22,1980867.614,440195.012,,,S-198
BLLM,12,PLS 859-D,BADOC,ILOCOS NORTE,REGION I,,,18081.25,15913.33,1981035.446,440183.596,,,S-199
BLBM,1,TAPAO,BADOC,ILOCOS NORTE,REGION I,,,17389.19,19886.63,1980294.197,444136.799,,,
BLBM,2,TAPAO,BADOC,ILOCOS NORTE,REGION I,,,17380.53,19948.02,1980285.364,444198.163,,,
BLBM,1,,BADOC,ILOCOS NORTE,REGION I,17-55-41.83,120-28-25.88,20000,20000,,,,,
BLBM,2,,BADOC,ILOCOS NORTE,REGION I,,,20106.25,19970.47,,,,,
BLLM,1,,BADOC,ILOCOS NORTE,REGION I,17-55-41.83,120-28-25.88,20000,20000,1982904.646,444257.547,,,PLS-859-D
BLLM,2,,BADOC,ILOCOS NORTE,REGION I,,,20106.25,19970.47,1983010.978,444228.318,,,
XC # 38.28,,,BADOC,ILOCOS NORTE,REGION I,,,24111.81,20460.14,1987015.09,444729.303,,,
XC # 38.28,,,BADOC,ILOCOS NORTE,REGION I,,,24111.81,20460.14,,,,,
XC # 40.59,,,BADOC,ILOCOS NORTE,REGION I,,,21951.7,20466.06,1984854.998,444729.116,,,
XC # 40.59,,,BADOC,ILOCOS NORTE,REGION I,,,21951.7,20466.06,,,,,
XC # 40.98,,,BADOC,ILOCOS NORTE,REGION I,,,21597.32,20316.65,1984501.046,444578.707,,,
XC # 40.98,,,BADOC,ILOCOS NORTE,REGION I,,,21597.32,20316.65,,,,,
BLBM,1,,BAGBAG,ILOCOS NORTE,REGION I,,,24127.39,18140.98,,,,,
BLBM,2,,BAGBAG,ILOCOS NORTE,REGION I,,,24034.01,18128.29,,,,,
BLBM,1,,BAGO,ILOCOS NORTE,REGION I,,,33706.93,28840.66,,,,,
BLBM,2,,BAGO,ILOCOS NORTE,REGION I,,,33780.54,28856.8,,,,,
BLBM,1,,BALACAD,ILOCOS NORTE,REGION I,,,14892.41,15218.53,,,,,
BLBM,2,,BALACAD,ILOCOS NORTE,REGION I,,,14850.78,15212.99,,,,,
BLBM,1,,BALIGAT,ILOCOS NORTE,REGION I,,,23967.83,20043.02,,,,,
BLBM,2,,BALIGAT,ILOCOS NORTE,REGION I,,,23990.99,19982.45,,,,,
TRI. STA.,,BANGUI,BANGUI,ILOCOS NORTE,REGION I,18-32-51.55,120-45-49.26,,,,,,,"TO STATIONS = NEGRA, DIALAO"
TRI. STA.,,BANGUI CH. TOWER,BANGUI,ILOCOS NORTE,REGION I,18-32-24.17,120-45-43.38,,,,,,,"TO STATIONS = CLIFF, DIALAO"
TRI. STA.,,BANTAI,BANGUI,ILOCOS NORTE,REGION I,18-34-07.86,120-48-36.12,,,,,,,"TO STATIONS = TALUM, DIALAO, NEGRA, BANGUI"
BLBM,1,BARUYAN,BANGUI,ILOCOS NORTE,REGION I,,,17630.18,13633.6,2048064.528,468760.202,,,
BLBM,2,BARUYAN,BANGUI,ILOCOS NORTE,REGION I,,,17557.34,13553.46,2047991.795,468679.97,,,
TRI. STA.,,BOJEADOR L.H.,BANGUI,ILOCOS NORTE,REGION I,,,17263.71,2278.26,2047712.905,457404.773,,,
BLBM,1,BORAYOC,BANGUI,ILOCOS NORTE,REGION I,,,24482.99,22839.17,2054905.009,477974.343,,,
BLBM,2,BORAYOC,BANGUI,ILOCOS NORTE,REGION I,,,24538.43,22904.92,2054960.361,478040.163,,,
BBM,1,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049828.77,474976.52,,,
BBM,2,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049994.48,475603.75,,,
BBM,3,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2051342.85,476515.74,,,
BBM,4,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2050672.25,477140.98,,,
BBM,5,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049500.55,477883.14,,,
BBM,6,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2050129.43,478036.12,,,
BBM,7,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2050303.11,480428.77,,,
BBM,8,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049679.89,480399.92,,,MBM 4
BBM,9,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2047852.03,470405.31,,,
BBM,10,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2047802.54,477078.9,,,
BBM,11,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2048790,476160.5,,,
BBM,12,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2047112.47,474372.23,,,
BBM,13,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2048343.31,474067.68,,,
BBM,14,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2047333.13,473180.5,,,
BBM,15,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2047171.59,471417.45,,,
BBM,16,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2046191.4,470727.67,,,
BBM,17,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2046411.33,470442.07,,,
BBM,18,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2046436.2,470159.72,,,
BBM,19,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2047471.02,469621.65,,,
BBM,20,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2048006.59,469425.19,,,
BBM,21,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2048229.27,469452.6,,,
BBM,22,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049435.19,468972.61,,,
BBM,23,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049432.04,470853.37,,,
BBM,24,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049502.8,471122.03,,,
BBM,25,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2048163.29,470184.46,,,
BBM,26,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2047878.65,470206.39,,,
BBM,27,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2047531.51,471068.66,,,
BBM,28,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049475.07,471543.94,,,
BBM,29,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2048364.93,472542.64,,,
BBM,30,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2050002.17,473370.91,,,
BBM,31,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2050619.14,474701.18,,,
BBM,32,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049787.59,473393.29,,,
BBM,33,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2050227.77,474891.43,,,
BBM,34,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2050252.51,475663.89,,,
BBM,35,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049922,476639.2,,,
BBM,36,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2048144.05,476118.87,,,
BLLM,1,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,18-32-20.675,120-45-51.123,,,2050439.325,475105.496,,,
BLLM,2,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2050537.24,475231.601,,,
BLLM,3,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049513.896,481245.893,,,
BLLM,4,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049462.889,480889.104,,,
BLLM,5,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2047562.01,471153.324,,,
BLLM,6,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2047592.098,470878.152,,,
BLLM,7,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2042992.23,470380.24,,,
BLLM,8,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2042841.58,470251.2,,,
BLLM,9,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2048531.676,466436.476,,,
BLLM,10,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2048609.454,466299.309,,,
MBM,1,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049544.94,482511.25,,,
MBM,2,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2047628.2,483261.91,,,
MBM,3,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2048401.01,481628.02,,,
MBM,4,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049679.89,480399.92,,,
MBM,5,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049432.025,479517.198,,,
MBM,6,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2049279.73,479108.81,,,
MBM,7,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2048467.53,478932.28,,,
MBM,24,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2051728.44,476035.15,,,
MBM,25,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2051717.01,476176.28,,,
MBM,26,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2051342.85,476515.74,,,BBM  3
MBM,27,CAD 734-D,BANGUI,ILOCOS NORTE,REGION I,,,,,2050054.43,478284.53,,,
BLBM,1,CADAGSAN,BANGUI,ILOCOS NORTE,REGION I,,,17148.79,15982.54,2047580.089,471108.419,,,
BLBM,2,CADAGSAN,BANGUI,ILOCOS NORTE,REGION I,,,17173.47,15917.65,2047604.853,471043.564,,,
TRI. STA.,,CAPE BOJEARDO,BANGUI,ILOCOS NORTE,REGION I,18-30-50.896,120-35-47.352,,,,,,,"TO STATIONS = S. BASE, N BASE, DIRIQUE"
BLBM,1,DAMPIG,BANGUI,ILOCOS NORTE,REGION I,,,20286.62,25667.02,2050705.127,480796.578,,,
BLBM,2,DAMPIG,BANGUI,ILOCOS NORTE,REGION I,,,20345.8,25687.94,2050764.277,480817.575,,,
TRI. STA.,,DIALOA,BANGUI,ILOCOS NORTE,REGION I,18-37-05.84,120-47-45.46,,,,,,,"TO STATIONS = TALUM, NEGRA, NAGAPARTIAN"
BLBM,1,LANAO,BANGUI,ILOCOS NORTE,REGION I,,,18731.79,23260.4,2049153.512,478388.036,,,
