,,BANK OF DITCH (BO. PADONG),(SITIO) SARGEANT PLS/ CONC. MON.,ILOCOS NORTE,REGION I,,,14572.29,26187.55,,,,,
BBM,16,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-01-47.996,,,,1994159.21,445076.04,,,LONGITUDE = BLURRED
BBM,17,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-01-35.362,120-29-52.872,,,1993765.94,446847.07,,,
BBM,18,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-01-35.485,120-29-59.313,,,1993769.21,447036.56,,,
BBM,19,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-00-48.724,120-29-44.475,,,1992332.86,446596.19,,,
BBM,20,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-00-38.271,120-29-44.101,,,1992011.51,446584.32,,,
BBM,21,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-02-45.487,120-29-20.073,,,1995924.4,445888.29,,,
BBM,22,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-02-30.715,120-29-47.799,,,1995468.02,446702.51,,,
BBM,23,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-00-03.232,120-30-02.384,,,1990932.89,447119.23,,,
BBM,24,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-00-08.706,120-30-13.500,,,1991100.28,447448.46,,,
BBM,25,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-00-30.524,120-30-25.407,,,1991770.09,447798.76,,,
BBM,26,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,,,,,,,,,NO DATA
BBM,27,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-59-50.931,120-29-49.562,,,1990555.74,446741,,,
BBM,28,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-59-50.829,120-29-54.148,,,1990552.25,446875.91,,,
BBM,29,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-59-50.399,120-30-01.183,,,1990538.47,447082.83,,,
BBM,30,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-59-46.665,120-30-01.099,,,1990423.67,447080.07,,,
BBM,31,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-00-19.066,120-30-34.019,,,1991417.17,448051.01,,,
BBM,32,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-00-06.043,120-30-33.106,,,1991016.88,448023.23,,,
BBM,33,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-59-49.646,120-30.31.510,,,1990512.92,447974.94,,,
BBM,34,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-59-07.535,120-30-26.134,,,1989218.77,447813.34,,,
BBM,35,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-59-30.075,120-29-56.390,,,1989914.05,446940.34,,,
BBM,36,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-59-39.633,120-29-47.923,,,1990208.54,446691.84,,,
BBM,37,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-59-17.796,120-29-18.090,,,1989539.64,445809.97,,,
BBM,38,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-59-09.328,120-29-26.462,,,1989278.62,446057.94,,,
BBM,39,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-58-46.247,120-30-08.025,,,1988565.76,447278.83,,,
BBM,40,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,,,,,,,,,NO DATA
BBM,41,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-58-55.779,,,,1988864.84,445069.36,,,LONGITUDE = BLURRED
BBM,42,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-58-48.311,,,,1988634.15,445465.79,,,LONGITUDE = BLURRED
BBM,43,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-58-38.282,120-29-00.165,,,1988326.33,445281.62,,,
BBM,44,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-58-24.322,120-29-10.630,,,1987896.32,445588.57,,,
BLLM,1,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-01-17.472,120-29-05.066,,,1993219.81,445438.32,,,
BLLM,2,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-01-09.615,120-29-08.675,,,1992977.99,445548.97,,,
BLLM,3,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-02-61.940,120-30-04.514,,,1994872.25,447332.23,,,
BLLM,4,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,,,,,1994824.87,448220.71,,,
BLLM,5,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-00-43.246,120-31-37.556,,,1992155.67,449922.1,,,
BLLM,6,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-00-39.760,120-31-27.963,,,1992049.22,449639.65,,,
BLLM,7,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-59-05.230,120-30-36.562,,,1989147.1,448119.95,,,
BLLM,8,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-59-06.840,120-30-29.044,,,1989197.17,447898.9,,,
BLLM,9,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-02-51.460,120-28-55.117,,,1996110.06,445154.84,,,
BLLM,10,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,18-03-01.068,120-29-01.786,,,1996404.9,445351.81,,,
BLLM,11,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-58-46.278,120-29-04.146,,,1988571.84,445399.43,,,
BLLM,12,CAD 576-D,CURRIMAO,ILOCOS NORTE,REGION I,17-58-56.394,120-29-13.287,,,1988882.06,445669.23,,,
TRI. STA.,,CURRIMAO AST. STA,CURRIMAO,ILOCOS NORTE,REGION I,18-01-13.23,120-28-45.02,,,,,,,"TO STATIONS = PASEAR, BADOC, INSURRECTO"
TRI. STA.,,INSURRECTO,CURRIMAO,ILOCOS NORTE,REGION I,18-01-18.06,120-28-38.46,,,,,,,"TO STATIONS = PASEAR, BADOC, COLINA"
TRI. STA.,,MOR,CURRIMAO,ILOCOS NORTE,REGION I,18-03-25.02,120-28-40.54,,,,,,,"TO STATIONS = CULILI, RIDGE"
TRI. STA.,,S. BASE CULILI,CURRIMAO,ILOCOS NORTE,REGION I,18-03-41.48,120-28-33.74,,,,,,,"TO STATIONS = N. BASE, ARENA, MOR, CULILI"
TRI. STA.,,WAREHOUSE S. CABLE,CURRIMAO,ILOCOS NORTE,REGION I,18-01-14.13,120-28-46.7,,,,,,,"TO STATIONS = BADOC, PASEAR, AST. STA"
BLBM,1,,CURRIMAO,ILOCOS NORTE,REGION I,,,15292.45,16068.18,,,,,
BLBM,2,,CURRIMAO,ILOCOS NORTE,REGION I,,,15355.3,16161.13,,,,,
BLBM,1,,DAIT,ILOCOS NORTE,REGION I,,,19002.76,18648.65,,,,,
BLBM,2,,DAIT,ILOCOS NORTE,REGION I,,,19088.58,18600.92,,,,,
BLBM,1,,DAMPIG,ILOCOS NORTE,REGION I,,,20286.62,25667.02,,,,,
BLBM,2,,DAMPIG,ILOCOS NORTE,REGION I,,,20345.8,25687.94,,,,,
BLBM,1,,DANAO,ILOCOS NORTE,REGION I,,,37218.97,26131.56,,,,,
BLBM,2,,DANAO,ILOCOS NORTE,REGION I,,,37311.75,26174.82,,,,,
BLBM,1,,DAVILA,ILOCOS NORTE,REGION I,,,34944.6,15661.76,,,,,
BLBM,2,,DAVILA,ILOCOS NORTE,REGION I,,,34876.71,5669.39,,,,,
BLBM,1,,DILAVO,ILOCOS NORTE,REGION I,,,30525.02,16938.78,,,,,
BLBM,2,,DILAVO,ILOCOS NORTE,REGION I,,,30592.61,16944.46,,,,,
BLBM,1,BACSIL,DINGRAS,ILOCOS NORTE,REGION I,,,19824.56,16928.05,2002293.846,464739.162,,,
BLBM,2,BACSIL,DINGRAS,ILOCOS NORTE,REGION I,,,19857.38,16861.15,2002326.775,464672.319,,,
BLBM,1,BARONG,DINGRAS,ILOCOS NORTE,REGION I,,,16188.27,23659.6,1998646.598,471464.453,,,
BLBM,2,BARONG,DINGRAS,ILOCOS NORTE,REGION I,,,16165.02,23733.93,1998623.226,471538.742,,,
BLBM,1,BIDING,DINGRAS,ILOCOS NORTE,REGION I,,,14007.19,19042.2,1996473.211,466843.638,,,
BLBM,2,BIDING,DINGRAS,ILOCOS NORTE,REGION I,,,13975.2,19073.65,1996441.17,466875.034,,,
BLLM,1,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,18-06-23.03,120-42-34.34,,,,,,,NO DATA
BLLM,1,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82797.5,96207.5,,,,,
BLLM,1,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,84133.4,95417.6,,,,,COMPUTED
BLTM,1,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82797.5,96207.5,,,,,
PT,1,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83841.2,95457.9,,,,,
PT,1,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83841.2,95457.9,,,,,
PT,2,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83593.9,95234.7,,,,,
PT,2,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83593.9,95234.7,,,,,
PT,3,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83996.9,94971.9,,,,,
PT,3,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83996.9,94971.9,,,,,
PT,4,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,84382.4,94752.2,,,,,
PT,4,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,84382.4,94752.2,,,,,
PT,5,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,84844.1,94746.1,,,,,
PT,5,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,84844.1,94746.1,,,,,
PT,6,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,85037.2,94538.6,,,,,
PT,6,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,85037.2,94538.6,,,,,
PT,7,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,84707.5,94400.7,,,,,
PT,7,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,84707.5,94400.7,,,,,
PT,8,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83863.2,94735.4,,,,,
PT,8,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83863.2,94735.4,,,,,
PT,9,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83743.7,94452.3,,,,,
PT,9,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83743.7,94452.3,,,,,
PT,10,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83312,94553.7,,,,,
PT,10,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83312,94553.7,,,,,
PT,11,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82931.6,94806.2,,,,,
PT,11,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82931.6,94806.2,,,,,
PT,12,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82474.3,94536.9,,,,,
PT,12,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82474.3,94536.9,,,,,
PT,12,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82474.2,94536.9,,,,,
PT,13,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82252.7,94594.8,,,,,
PT,13,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82252.7,94594.8,,,,,
PT,14,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82156.6,94972.6,,,,,
PT,14,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82156.6,94972.6,,,,,
PT,15,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82099.7,95447.6,,,,,
PT,15,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82099.7,95447.6,,,,,
PT,16,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82641.2,95718.8,,,,,
PT,16,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82641.2,95718.8,,,,,
PT,17,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83074.7,95956.3,,,,,
PT,17,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83074.7,95956.3,,,,,
PT,18,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83390.6,96181.8,,,,,
PT,18,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83390.6,96181.8,,,,,
PT,19,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83605.6,95990.3,,,,,
PT,19,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83605.6,95990.3,,,,,
PT,20,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83896.9,95493,,,,,
PT,20,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,83896.9,95493,,,,,
PT,21,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82113.3,95928.7,,,,,
PT,21,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82113.3,95928.1,,,,,
PT,21,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82113.3,95928.7,,,,,
PT,21,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,82113.3,95928.7,,,,,
PT,22,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,81601.1,95790.6,,,,,
PT,22,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,81601.1,95790.6,,,,,
PT,23,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,81041.7,95746.2,,,,,
PT,23,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,81041.7,95746.2,,,,,
PT,24,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,80777.58,95480,,,,,
PT,24,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,80777.58,95480,,,,,
PT,25,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,80420.8,95296.6,,,,,
PT,25,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,80420.8,95296.6,,,,,
PT,26,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,79770,95059.5,,,,,
PT,26,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,79770,95059.5,,,,,
PT,27,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,80226,94529.7,,,,,
PT,27,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,80226,94529.7,,,,,
PT,28,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,80831.5,94562.4,,,,,
PT,28,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,80831.5,94562.4,,,,,
PT,29,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,81494.5,95051.4,,,,,
PT,29,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,81494.5,95051.4,,,,,
PT,32,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,78432.2,94166.8,,,,,
PT,32,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,78432.2,94166.8,,,,,
PT,33,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,77963,93906.8,,,,,
PT,33,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,77963,93906.8,,,,,
PT,34,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,77501.7,93975.4,,,,,
PT,34,CAD 4,DINGRAS,ILOCOS NORTE,REGION I,,,77501.7,93975.4,,,,,
BLBM,1,CAPASAN,DINGRAS,ILOCOS NORTE,REGION I,,,21609.44,17243.12,2004078.139,465057.165,,,
BLBM,2,CAPASAN,DINGRAS,ILOCOS NORTE,REGION I,,,21537.95,17186.73,2004006.745,465000.659,,,
BDRY. MON.,,DINGRAS-PIDDIG,DINGRAS,ILOCOS NORTE,REGION I,,,23670.28,20074.78,2006134.227,467892.118,,,
BLBM,1,GABON,DINGRAS,ILOCOS NORTE,REGION I,,,18603.46,15873.8,2001074.53,463682.935,,,
BLBM,2,GABON,DINGRAS,ILOCOS NORTE,REGION I,,,18611.38,15802.24,2001082.567,463611.391,,,
BLBM,1,LANAS,DINGRAS,ILOCOS NORTE,REGION I,,,15036.36,22416.36,1997496.782,470219.364,,,
BLBM,2,LANAS,DINGRAS,ILOCOS NORTE,REGION I,,,15083.86,22388.3,1997544.327,470191.383,,,
BLBM,1,PADONG,DINGRAS,ILOCOS NORTE,REGION I,,,16724.89,24467.79,1999181.864,472273.495,,,
BLBM,2,PADONG,DINGRAS,ILOCOS NORTE,REGION I,,,16563.21,24429.48,1999020.254,472234.92,,,
BLLM,1,PLS 496-D,DINGRAS,ILOCOS NORTE,REGION I,18-06-19.790,120-41-45.130,20000,20000,2002464.212,467811.287,,,
BLLM,2,PLS 496-D,DINGRAS,ILOCOS NORTE,REGION I,,,19891.88,20145.79,2002355.856,467956.893,,,
BLLM,3,PLS 496-D,DINGRAS,ILOCOS NORTE,REGION I,,,16185.27,25803.87,1998640.064,473608.628,,,
BLLM,4,PLS 496-D,DINGRAS,ILOCOS NORTE,REGION I,,,15780.8,26463.25,1998234.524,474267.312,,,
BLLM,5,PLS 496-D,DINGRAS,ILOCOS NORTE,REGION I,,,10986.27,26168.47,1993440.676,473964.637,,,
BLLM,6,PLS 496-D,DINGRAS,ILOCOS NORTE,REGION I,,,10575.72,26250.9,1993030.007,474046.386,,,
BLLM,7,PLS 496-D,DINGRAS,ILOCOS NORTE,REGION I,,,7824.25,21180.49,,,,,
BLLM,8,PLS 496-D,DINGRAS,ILOCOS NORTE,REGION I,,,8146.81,20887.4,,,,,
BLLM,9,PLS 496-D,DINGRAS,ILOCOS NORTE,REGION I,,,13837.15,18856.68,1996303.483,466657.845,,,
BLLM,10,PLS 496-D,DINGRAS,ILOCOS NORTE,REGION I,,,14052.35,19092.87,1996518.285,466894.381,,,
BLBM,,SARGEANT  PLS/CONC. MON. BANK OF DITCH (B. PADONG) (SITTIO),DINGRAS,ILOCOS NORTE,REGION I,,,14572.29,26187.55,1997026.518,473989.631,,,
BLBM,1,,DINGRAS,ILOCOS NORTE,REGION I,18-06-19.79,120-41-45.13,20000,20000,,,,,
BLBM,2,,DINGRAS,ILOCOS NORTE,REGION I,,,19891.89,20145.75,,,,,
BLLM,1,,DINGRAS,ILOCOS NORTE,REGION I,18-06-19.79,120-41-45.13,20000,20000,2002464.212,467811.287,,,FOR NEW DATA SEE CAD NO. 4
BLLM,2,,DINGRAS,ILOCOS NORTE,REGION I,,,19891.89,20145.75,2002355.866,467956.853,,,
BDRY. MON.,,,DINGRAS-PIDDIG,ILOCOS NORTE,REGION I,,,23670.28,20074.78,,,,,
TRI. STA.,,BATO,DUMALNEG,ILOCOS NORTE,REGION I,18-34-25.06,120-53-45.08,,,,,,,"TO STATIONS = E. BASE, W. BASE, MADAMBA, MANUNG"
BLLM,1,CAD 736-D,DUMALNEG,ILOCOS NORTE,REGION I,18-31-28.897,120-48-28.645,,,2048841.993,479723.325,,,
BLLM,2,CAD 736-D,DUMALNEG,ILOCOS NORTE,REGION I,,,,,2049086.63,479710.509,,,
BBM,1,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1989022.77,463448.72,,,
BBM,2,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1990502.26,464229.24,,,
BBM,3,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1990545.76,464281.33,,,
BBM,4,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1990868.52,464646.58,,,
BBM,5,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1988220.74,464492.59,,,
BBM,6,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1987935.33,463822.35,,,
BBM,7,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1988131.92,463057.3,,,
BBM,8,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1987660.87,463162.79,,,
BBM,9,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1988249.82,462937.1,,,
BBM,10,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1989267.98,463077.42,,,
BBM,11,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1988296.83,462163.68,,,
BBM,12,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1987121.9,461274.77,,,
BBM,13,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986461.12,460788.52,,,
BBM,14,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986933.26,462832.22,,,
BBM,15,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986784.16,462968.08,,,
BBM,16,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1985775.94,461393.38,,,
BBM,17,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1989118.35,460510.99,,,
BBM,18,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1983856.78,460333.22,,,
BBM,19,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1983377.24,459623.91,,,
BBM,20,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1982706.92,462831.78,,,
BBM,21,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1982511.07,463682.48,,,
BBM,22,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1983573.48,462669.42,,,
BBM,23,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1984856.68,462630.9,,,
BBM,24,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1985524.54,463774.92,,,
BBM,25,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1985742.46,463886.48,,,
BBM,26,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986606.86,463649.07,,,
BBM,27,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1985526.28,464584.99,,,
BBM,28,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1987436.68,465478.3,,,
BBM,29,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1987037.56,466062.81,,,
BBM,30,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1990419.54,464500.94,,,
BBM,31,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1990651.03,464960.68,,,
BBM,32,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1992103.66,465622.52,,,
BBM,33,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1991352.9,463702.43,,,
BBM,34,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1987225.24,467476.55,,,
BBM,35,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986400.92,468854.42,,,
BBM,36,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1984810.2,466103.37,,,
BBM,37,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986185.58,467931.33,,,
BBM,38,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1988175.37,468171.47,,,
BBM,39,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1987539.84,468060.16,,,
BBM,40,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1988752.98,468701.7,,,
BBM,41,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1989150.92,466191.7,,,
BBM,42,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1991447.02,466468.48,,,
BBM,43,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1990124.72,461723.69,,,
BBM,44,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1990687.76,461773.11,,,
BBM,45,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1991074.82,461837.66,,,
BBM,46,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1993365.71,462198.92,,,
BBM,47,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1987530.41,470208.73,,,
BBM,48,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1984929.09,466003.57,,,
BBM,49,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1982198.23,463976.71,,,
BBM,50,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1987590.38,458006.99,,,
BBM,51,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1989798.74,459342.66,,,
BLLM,1,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,17-59-00.2,120-39-21.2,,,1988957.612,463555.901,,,
BLLM,2,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1988900.24,463676.501,,,
BLLM,3,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1988939.771,469220.801,,,
BLLM,4,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1988808.216,469072.25,,,
BLLM,5,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1985694.104,465548.973,,,
BLLM,6,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1985544.837,465503.109,,,
BLLM,7,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1982849.04,461310.077,,,
BLLM,8,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1982714.607,461229.569,,,
BLLM,9,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1992359.714,463810.992,,,
BLLM,10,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1992306.481,463928.487,,,
MBM,1,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1993978.99,460942.26,,,
MBM,2,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1993365.71,462198.92,,,
MBM,3,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1992415.79,464296.48,,,
MBM,4,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1991990.58,465786.17,,,
MBM,5,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1990500.81,468036.38,,,
MBM,6,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1987530.41,470208.73,,,
MBM,7,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986938.59,470427.51,,,
MBM,8,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986599.98,469700,,,
MBM,9,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986289.23,469056.09,,,
MBM,10,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986259.54,469000.57,,,
MBM,11,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986137.24,468830.18,,,
MBM,12,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986295.18,468514.2,,,
MBM,13,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986200.01,468439.38,,,
MBM,14,CAD 737-D,ESPIRITU,ILOCOS NORTE,REGION I,,,,,1986280.32,468183.68,,,
