BLLM,10,,MAHATAO,BATANES,II,20-24-57.560,121-56-47.746,19776.44,20067.43,2036510.329,598795.712,,,,
BLLM,11,,MAHATAO,BATANES,II,,,19824.75,21370.03,2258.512.783,600098.102,,,,
BLLM,11,,MAHATAO,BATANES,II,20-24-59.129,121-57-32.676,19824.75,21370.03,2036454.519,600098.111,,,,
BLLM,12,,MAHATAO,BATANES,II,,,20517.33,21535.79,2259206.356,600259.882,,,,
BLLM,12,,MAHATAO,BATANES,II,20-25-21.651,121-57-38.395,20517.33,21535.79,2035760.935,600259.873,,,,
BBM,1,CAD 940-D,SABTANG,BATANES,II,,,,,2249703.11,590911.95,,,,
BBM,2,CAD 940-D,SABTANG,BATANES,II,,,,,2249615.4,590859.48,,,,
BBM,3,CAD 940-D,SABTANG,BATANES,II,,,,,2248265.64,591862.5,,,,
BBM,4,CAD 940-D,SABTANG,BATANES,II,,,,,2247619.54,591672.75,,,,
BBM,5,CAD 940-D,SABTANG,BATANES,II,,,,,2247519.04,591501.54,,,,
BBM,6,CAD 940-D,SABTANG,BATANES,II,,,,,2247098.77,591518.14,,,,
BBM,7,CAD 940-D,SABTANG,BATANES,II,,,,,2247180.53,591458.45,,,,
BBM,8,CAD 940-D,SABTANG,BATANES,II,,,,,2244848.73,592242.28,,,,
BBM,9,CAD 940-D,SABTANG,BATANES,II,,,,,2244880.26,591528.53,,,,
BBM,10,CAD 940-D,SABTANG,BATANES,II,,,,,2244589.53,591022.18,,,,
BBM,11,CAD 940-D,SABTANG,BATANES,II,,,,,2245519.84,589703.66,,,,
BBM,12,CAD 940-D,SABTANG,BATANES,II,,,,,2244844.51,589796.21,,,,
BBM,13,CAD 940-D,SABTANG,BATANES,II,,,,,2246509.71,589212.61,,,,
BBM,14,CAD 940-D,SABTANG,BATANES,II,,,,,2246686.16,589238.91,,,,
BBM,15,CAD 940-D,SABTANG,BATANES,II,,,,,2246086.42,589226.73,,,,
BBM,16,CAD 940-D,SABTANG,BATANES,II,,,,,2246007.07,589479.1,,,,
BBM,17,CAD 940-D,SABTANG,BATANES,II,,,,,2245791.29,589929.65,,,,
BBM,18,CAD 940-D,SABTANG,BATANES,II,,,,,2247559.85,588596.16,,,,
BBM,19,CAD 940-D,SABTANG,BATANES,II,,,,,2246956.56,587633.61,,,,
BBM,20,CAD 940-D,SABTANG,BATANES,II,,,,,2248775.87,588463.8,,,,
BBM,21,CAD 940-D,SABTANG,BATANES,II,,,,,2249551.41,588228.34,,,,
BBM,22,CAD 940-D,SABTANG,BATANES,II,,,,,2249856.14,588102.55,,,,
BBM,23,CAD 940-D,SABTANG,BATANES,II,,,,,2251403.46,588157.45,,,,
BBM,24,CAD 940-D,SABTANG,BATANES,II,,,,,2251486.95,587865.02,,,,
BBM,25,CAD 940-D,SABTANG,BATANES,II,,,,,2242791.47,588563.27,,,,
BLLM,1,CAD 940-D,SABTANG,BATANES,II,20-20-06.286,121-52-21.503,,,2249456.911,591123.948,,,,
BLLM,2,CAD 940-D,SABTANG,BATANES,II,,,,,2249249.357,591302.701,,,,
BLLM,3,CAD 940-D,SABTANG,BATANES,II,,,,,2244065.848,590923.861,,,,
BLLM,4,CAD 940-D,SABTANG,BATANES,II,,,,,2243989.871,590790.281,,,,
BLLM,5,CAD 940-D,SABTANG,BATANES,II,,,,,2246450.44,583765.512,,,Tri. Sta. IBUGOS,
BLLM,6,CAD 940-D,SABTANG,BATANES,II,,,,,2249120.629,582125.567,,,Tri. Sta. DEQUEZ,
BLLM,7,CAD 940-D,SABTANG,BATANES,II,,,,,2248390.186,587405.109,,,,
BLLM,8,CAD 940-D,SABTANG,BATANES,II,,,,,2248669.628,587422.537,,,,
BLLM ,1,,STO. DOMINGO DE BASCO,BATANES,II,,,20000,20000,,,,,No Position,
BLLM ,2,,STO. DOMINGO DE BASCO,BATANES,II,,,19896.61,19857.04,,,,,,Coordinates are copied from projection book.
BLLM ,3,,STO. DOMINGO DE BASCO,BATANES,II,,,20933.17,19244.52,,,,,,
BLLM ,4,,STO. DOMINGO DE BASCO,BATANES,II,,,21571.78,19874.48,,,,,,
BLLM ,5,,STO. DOMINGO DE BASCO,BATANES,II,,,21587.01,20638.02,,,,,,
BLLM ,6,,STO. DOMINGO DE BASCO,BATANES,II,,,19184.02,20800.02,,,,,,
BLLM ,7,,STO. DOMINGO DE BASCO,BATANES,II,,,20566.04,21943.28,,,,,,
BBM,1,CAD 876-D,UYUGAN,BATANES,II,,,,,2251380.28,597889.53,,,,
BBM,2,CAD 876-D,UYUGAN,BATANES,II,,,,,2251372.9,597821.62,,,,
BBM,3,CAD 876-D,UYUGAN,BATANES,II,,,,,2251256.92,597890.15,,,,
BBM,4,CAD 876-D,UYUGAN,BATANES,II,,,,,2251515.79,597921.39,,,,
BBM,5,CAD 876-D,UYUGAN,BATANES,II,,,,,2251527.33,597872.01,,,,
BBM,6,CAD 876-D,UYUGAN,BATANES,II,,,,,2251679.3,597838.21,,,,
BBM,7,CAD 876-D,UYUGAN,BATANES,II,,,,,2253083.15,598071.65,,,,
BBM,8,CAD 876-D,UYUGAN,BATANES,II,,,,,2253498.22,598181.83,,,,
BBM,9,CAD 876-D,UYUGAN,BATANES,II,,,,,2254200.8,598294.1,,,,
BBM,10,CAD 876-D,UYUGAN,BATANES,II,,,,,2255373.62,598643.68,,,,
BBM,11,CAD 876-D,UYUGAN,BATANES,II,,,,,2255068.43,598697.9,,,,
BBM,12,CAD 876-D,UYUGAN,BATANES,II,,,,,2254364.81,598841.55,,,,
BBM,13,CAD 876-D,UYUGAN,BATANES,II,,,,,2253783.42,598843.67,,,,
BBM,14,CAD 876-D,UYUGAN,BATANES,II,,,,,2253089.63,599212.3,,,,
BBM,15,CAD 876-D,UYUGAN,BATANES,II,,,,,2252591.02,599565.27,,,,
BBM,16,CAD 876-D,UYUGAN,BATANES,II,,,,,2253721.62,600859.44,,,,
BBM,17,CAD 876-D,UYUGAN,BATANES,II,,,,,2254018.02,600492.01,,,,
BBM,18,CAD 876-D,UYUGAN,BATANES,II,,,,,2254847.91,600728.92,,,,
BBM,19,CAD 876-D,UYUGAN,BATANES,II,,,,,2255347.62,600326.74,,,,
BBM,20,CAD 876-D,UYUGAN,BATANES,II,,,,,2255522.97,599859.78,,,,
BLLM ,1,CAD 876-D,UYUGAN,BATANES,II,20-21-08.411,121-56-14.292,,,2251404.496,597865.92,,,,
BLLM ,2,CAD 876-D,UYUGAN,BATANES,II,,,,,2251416.248,597676.652,,,,
BLLM ,3,CAD 876-D,UYUGAN,BATANES,II,,,,,2254083.465,598331.821,,,,
BLLM ,4,CAD 876-D,UYUGAN,BATANES,II,,,,,2254025.704,598510.085,,,,
BLLM ,5,CAD 876-D,UYUGAN,BATANES,II,,,,,2254965.032,602075.012,,,,
BLLM ,6,CAD 876-D,UYUGAN,BATANES,II,,,,,2254926.409,601599.675,,,,
MBM,1,CAD 876-D,UYUGAN,BATANES,II,,,,,2251328.96,597004.78,,,,
