BLLM,10,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1820608.21,554136.96,,,
BLLM,11,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1819465.028,558864.223,,,
BLLM,12,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1819136.071,558896.338,,,
BLLM,13,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1824974.11,551434.786,,,
BLLM,14,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1825193.628,551713.453,,,
MBM,1,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1830117.23,555267.95,,,copied from 
MBM,2,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1829067.76,555529.02,,,envelope
MBM,3,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1829085.78,556226.71,,,
MBM,4,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1827444.58,558598.63,,,
MBM,5,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1828541.12,558517.54,,,
MBM,6,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1826895.89,558713.73,,,
MBM,7,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1826884.12,559651.4,,,
MBM,8,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1826660.57,559882.2,,,
MBM,9,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1826698.79,560019.77,,,
MBM,10,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1827385.52,554065.63,,,
MBM,11,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1829090.73,553728.73,,,
MBM,12,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1826301.03,560332.3,,,
MBM,13,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1826436.26,560608.87,,,
MBM,14,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1825498.02,561512.58,,,
MBM,15,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1823988.6,560995.22,,,
MBM,16,CAD-684-D,CABARROQUIS,QUIRINO,II,,,,,1824566.3,559661.42,,,
