Tri. Sta.,,33,ANGELES,PAMPANGA,3,15-10-15.65,120-26-52.7,,,1677800.188,440677.964,,,"(Catuno , Top-of the World)"
MBM,25,CAD-94,ANGELES,PAMPANGA,3,15-10-35.36,120-38-01.40,24476.15,24757.11,1678363.589,460641.005,,,
MBM,26,CAD-94,ANGELES,PAMPANGA,3,15-10-33.54,120-36-08.46,24420.19,21385.28,1678313.937,457269.2,,,
MBM,27,CAD-94,ANGELES,PAMPANGA,3,15-10-24.40,120-36-08.59,24139.29,21389.07,1678033.057,457272.451,,,
MBM,28,CAD-94,ANGELES,PAMPANGA,3,15-10-18.51,120-36-19.90,23958.1,21726.76,1677851.24,457609.793,,,
MBM,29,CAD-94,ANGELES,PAMPANGA,3,15-10-33.60,120-36-23.55,24422.07,21835.89,1678314.998,457719.791,,,
MBM,30,CAD-94,ANGELES,PAMPANGA,3,15-10-32.98,120-36-45.04,24402.84,22477.31,1678294.553,458361.145,,,
MBM,31,CAD-94,ANGELES,PAMPANGA,3,15-10-37.50,120-37-18.54,24541.85,23477.65,1678431.688,459361.721,,,
MBM,32,CAD-94,ANGELES,PAMPANGA,3,15-10-47.80,120-37-23.88,24858.58,23636.9,1678748.091,459521.575,,,
MBM,33,CAD-94,ANGELES,PAMPANGA,3,15-10-52.77,120-37-54.95,25011.09,24564.06,1678898.86,460448.985,,,
MBM,34,CAD-94,ANGELES,PAMPANGA,3,15-10-46.90,120-38-04.88,24830.89,24860.95,1678718.111,460745.505,,,
MBM,35,CAD-94,ANGELES,PAMPANGA,3,15-10-16.66,120-38-08.21,23901.43,24960.41,1677788.503,460843.237,,,
MBM,36,CAD-94,ANGELES,PAMPANGA,3,15-09-52.58,120-38-00.13,23161.3,24719.3,1677048.843,460600.745,,,
MBM,37,CAD-94,ANGELES,PAMPANGA,3,15-09-43.61,120-38-02.59,22885.51,24792.55,1676772.918,460673.48,,,
MBM,38,CAD-94,ANGELES,PAMPANGA,3,15-08-56.63,120-37-56.66,21441.67,24615.61,1675329.48,460493.828,,,
MBM,39,CAD-94,ANGELES,PAMPANGA,3,15-08-50.29,120-37-52.92,21246.81,24504.05,1675134.818,460381.906,,,
MBM,40,CAD-94,ANGELES,PAMPANGA,3,15-08-37.47,120-37-49.91,20852.77,24414.46,1674740.966,460291.591,,,
MBM,41,CAD-94,ANGELES,PAMPANGA,3,15-08-14.70,120-37-01.04,20153.06,22955.18,1674044.007,458831.049,,,
MBM,42,CAD-94,ANGELES,PAMPANGA,3,15-08-02.67,120-36-44.83,19783.32,22471.2,1673675.195,458346.379,,,
MBM,43,CAD-94,ANGELES,PAMPANGA,3,15-07-35.15,120-36-08.37,18937.38,21382.74,1672831.295,457256.389,,,
BLBM,1,Capaya,ANGELES,PAMPANGA,3,,,20723.56,23883.68,1674612.756,459760.584,,,For new data see Cad. No. 94
BLBM,2,Capaya,ANGELES,PAMPANGA,3,,,20754.52,23988.08,1674643.519,459865.039,,,For new data see Cad. No. 94
BLBM,1,Pulung-bulu,ANGELES,PAMPANGA,3,,,19637.91,20999.95,1673532.532,456874.91,,,For new data see Cad. No. 94
BLBM,2,Pulung-bulu,ANGELES,PAMPANGA,3,,,19568.86,21152.58,1673463.199,457027.407,,,For new data see Cad. No. 94
BLBM,1,Sapang Libutad,ANGELES,PAMPANGA,3,,,22633.82,24232.26,1676522.306,460112.727,,,For new data see Cad. No. 94
BLBM,2,Sapang Libutad,ANGELES,PAMPANGA,3,,,22684.25,24157.12,1676572.875,460037.684,,,For new data see Cad. No. 94
Tri. Sta.,,Stotsenbeng Top of Band Stand,ANGELES,PAMPANGA,3,15-10-57.62,120-31-04.33,,,1679072.349,448192.27,,,"(Arayat, Cutuno)"
Tri. Sta.,,Top of the World Elev. 1302.6,ANGELES,PAMPANGA,3,15-10-40.662,120-29-48.268,,,1678556.276,445920.659,,,"(Angeles Ch. S. B.T.  ,  Catuno)"
BLLM,1,APALIT,APALIT,PAMPANGA,3,14-57-16.10,120-46-15.79,20000,20000,1653780.46,475372.257,,,See Cad . No. 150
BLLM,2,APALIT,APALIT,PAMPANGA,3,,,20110.91,19974.87,1653891.391,475347.242,,,See Cad . No. 150
PBM,7,Apalit Cad. 150,APALIT,PAMPANGA,3,14-56-08.16,120-47-45.06,17911.85,22667.65,1651689.651,478037.637,,,Apalit Cad. System
PBM,8,Apalit Cad. 150,APALIT,PAMPANGA,3,14-55-51.31,120-47-00.79,17394.01,21345,1651173.196,476714.512,,,Apalit Cad. System
Tri. Sta.,,Apalit Dome,APALIT,PAMPANGA,3,,,20081.77,20002.76,1653862.224,475375.101,,,See Cad. No. 150
Tri. Sta.,,Apalit Dome (CROSS),APALIT,PAMPANGA,3,14-57-18.758,120-46-15.882,,,1653862.144,475375.091,,,"(Malolos , Malasimbo)"
BBM,1,CAD-150,APALIT,PAMPANGA,3,14-56-06.7508,120-45-50.0917,17868.64,19232.02,1651649.992,474602.122,,,
BBM,2,CAD-150,APALIT,PAMPANGA,3,14-55-56.4404,120-45-41.7614,17551.77,18983.06,1651333.374,474352.825,,,
BBM,3,CAD-150,APALIT,PAMPANGA,3,14-56-00.1014,120-45-32.2036,17664.3,18697.43,1651446.194,474067.349,,,
BBM,4,CAD-150,APALIT,PAMPANGA,3,14-56-06.7588,120-44-25.3154,17869.1,16698.52,1651653.062,472068.709,,,
BBM,5,CAD-150,APALIT,PAMPANGA,3,14-56-21.3013,120-44-24.6564,18316.05,16678.89,1652099.998,472049.538,,,
BBM,6,CAD-150,APALIT,PAMPANGA,3,14-56-34.7606,120-45-01.6402,18729.58,17784.15,1652512.361,473155.185,,,
BBM,7,CAD-150,APALIT,PAMPANGA,3,15-56-38.2454 ,120-45-28.2678,18836.62,18579.88,1652618.584,473951.005,,,
BBM,8,CAD-150,APALIT,PAMPANGA,3,14-56-34.2714,,18714.46,19020.44,1652495.977,474391.425,,,
BBM,9,CAD-150,APALIT,PAMPANGA,3,14-56-31.2677,120-47-08-7710,18622.18,21583.26,1652401.079,476954.03,,,
BBM,10,CAD-150,APALIT,PAMPANGA,3,14-57-03.0497,120-45-44.1469,19598.93,19054.43,1653380.393,474426.317,,,
BBM,11,CAD-150,APALIT,PAMPANGA,3,14-57-09.3250,120-45-46.4715,19791.79,19123.9,1653573.165,474495.967,,,
