TRI. STA.,,CUT,AGDANGAN,QUEZON,REGION IV-A,13-52-46.100,121-52-54.860,,,,,,,"TO STATIONS = ANT, HILL"
BLLM,10,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559641.021,615441.801,,,
BLLM,11,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556597.137,614556.04,,,
BLLM,12,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556752.315,614336.386,,,
MBM,1,PLS 1065-D,ALABAT,QUEZON,REGION IV-A,,,,,1555926.673,616218.793,,,
MBM,2,PLS 1065-D,ALABAT,QUEZON,REGION IV-A,,,,,1556871.324,616633.905,,,
P,1,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559606.038,609228.991,,,
P,2,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559771.468,609127.88,,,
P,3,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559855.927,609088.94,,,
P,4,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559978.774,609324.404,,,
P,5,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1560108.156,609258.841,,,
P,6,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1560398.207,609094.423,,,
P,7,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1560919.434,608865.137,,,
P,8,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1561335.687,608666.654,,,
P,9,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1561068.728,608323.549,,,
P,10,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1560742.476,608240.454,,,
P,11,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1560955.38,607430.364,,,
P,12,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1560952.525,607247.646,,,
P,13,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1561002.701,607090.832,,,
P,14,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1561153.23,606979.159,,,
P,15,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1561450.017,606729.899,,,
P,16,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1561657.375,606613.086,,,
P,17,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1561951.117,606934.992,,,
P,18,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1562046.84,606855.481,,,
P,19,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1562134.592,606929.604,,,
P,20,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1562796.829,607139.739,,,
P,21,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563234.011,607235.755,,,
P,22,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563309.021,307102.613,,,
P,23,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563344.243,606989.428,,,
P,24,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563327.132,606813.925,,,
P,25,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563344.86,606989.441,,,
P,26,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563309.562,607102.792,,,
P,27,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563234.596,607236.094,,,
P,28,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563340.956,607298.07,,,
P,29,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563433.066,607372.37,,,
P,30,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563527.948,607477.524,,,
P,31,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563450.988,607560.294,,,
P,32,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563517.704,607661.104,,,
P,33,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563609.657,607678.956,,,
P,34,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563694.891,607741.056,,,
P,35,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563795.537,607788.75,,,
P,36,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563898.269,607831.348,,,
P,37,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1563973.883,607707.762,,,
P,38,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1564112.882,607806.381,,,
P,39,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1564195.419,607810.852,,,
P,40,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1564303.867,608160.766,,,
P,41,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1565795.968,608711.312,,,
