Tria. STA.(29th Engrs.) ,Dagat,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-33-20.894,121-04-38.999,,,,,,,
Tria. STA.(29th Engrs.) ,Calapan L. H.,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-25-52.770,121-11-36.818,,,,,,,
Tria. STA.(29th Engrs.) ,Governor Base,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-26-06.087,121-11-48.321,,,,,,,
Tria. STA.(29th Engrs.) ,Sta. Baco Chico L. H.,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-29-14.120,121-10-57.868,,,,,,,
Tria. STA.(29th Engrs.) ,Tubile,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-13-35.444,120-31-26.053,,,,,,,
Tria. STA.(29th Engrs.) ,Tandrac RM,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-16-11.791,120-42-16.157,,,,,,,
Tria. STA.(29th Engrs.) ,Pag,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-07-48.556,120-41-17.327,,,,,,,
Tria. STA.(29th Engrs.) ,Santa Cruz,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-03-11.363,120-46-50.478,,,,,,,
Tria. STA.(29th Engrs.) ,Naujan,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-15-30.901,121-21-19.350,,,,,,,
Tria. STA.(29th Engrs.) ,Day,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-09-09.876,121-30-29.355,,,,,,,
Tria. STA.(29th Engrs.) ,Dumali L. H.,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-08-29.518,121-31-59.470,,,,,,,
Tria. STA.(29th Engrs.) ,Baba,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-04-38.548,121-32-32.819,,,,,,,
Tria. STA.(29th Engrs.) ,Pinamalayan L. H.,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,13-02-04.645,121-29-27.420,,,,,,,
Tria. STA.(29th Engrs.) ,Apo Reef L. H.,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-39-46.009,120-24-47.220,,,,,,,
Tria. STA.(29th Engrs.) ,Menor,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-40-10.901,120-26-16.989,,,,,,,
Tria. STA.(29th Engrs.) ,Bajo,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-41-57.598,120-28-54.272,,,,,,,
Tria. STA.(29th Engrs.) ,Sablayan,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-49-52.010,120-45-49.803,,,,,,,
Tria. STA.(29th Engrs.) ,Bongabong L. H.,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-44-56.826,121-29-18.044,,,,,,,
Tria. STA.(29th Engrs.) ,Campo,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-56-00.609,121-43-06.196,,,,,,,
Tria. STA.(29th Engrs.) ,Sair,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-33-07.778,120-58-09.636,,,,,,,
Tria. STA.(29th Engrs.) ,Bubog II,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-21-50.584,121-02-12.149,,,,,,,
Tria. STA.(29th Engrs.) ,Pandurucan,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-20-37.597,121-03-50.725,,,,,,,
Tria. STA.(29th Engrs.) ,Doc,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-17-42.511,121-02-41.423,,,,,,,
Tria. STA.(29th Engrs.) ,Alitao,unknown,MINDORO,OCCIDENTAL MINDORO,REGION IV-B,12-17-03.183,121-03-03.220,,,,,,,
